Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,orgnr_norm,wikidata,wd_item,wd_label,wd_website,avvik_namn,post_webb,wd_webb_norm,avvik_webb,matched_in_wikidata
202100-2437,LÄNSSTYRELSEN I GÄVLEBORGS LÄN,,801 70,GÄVLE,BORGMÄSTARPLAN 2,802 66,GÄVLE,0102251000,,gavleborg@lansstyrelsen.se,www.lansstyrelsen.se/gavleborg,2017:868,202100-2437,,,,,True,www.lansstyrelsen.se/gavleborg,,True,False
202100-2353,LÄNSSTYRELSEN I HALLANDS LÄN,,301 86,HALMSTAD,SLOTTSGATAN 2,302 42,HALMSTAD,,,halland@lansstyrelsen.se,www.lansstyrelsen.se/halland,2017:868,202100-2353,,,,,True,www.lansstyrelsen.se/halland,,True,False
202100-2452,LÄNSSTYRELSEN I JÄMTLANDS LÄN,,831 86,ÖSTERSUND,RESIDENSGRÄND 7,831 30,ÖSTERSUND,0102253000,,jamtland@lansstyrelsen.se,www.lansstyrelsen.se/jamtland,2017:868,202100-2452,,,,,True,www.lansstyrelsen.se/jamtland,,True,False
202100-2288,LÄNSSTYRELSEN I JÖNKÖPINGS LÄN,,551 86,JÖNKÖPING,HAMNGATAN 4,553 16,JÖNKÖPING,0102236000,,jonkoping@lansstyrelsen.se,www.lansstyrelsen.se/jonkoping,2017:868,202100-2288,,,,,True,www.lansstyrelsen.se/jonkoping,,True,False
202100-2304,LÄNSSTYRELSEN I KALMAR LÄN,,391 86,KALMAR,Regeringsgatan 1,392 31,KALMAR,0102238000,,kalmar@lansstyrelsen.se,www.lansstyrelsen.se/kalmar,2017:868,202100-2304,,,,,True,www.lansstyrelsen.se/kalmar,,True,False
202100-2296,LÄNSSTYRELSEN I KRONOBERGS LÄN,,351 86,VÄXJÖ,KUNGSGATAN 8,352 33,VÄXJÖ,0102237000,,kronoberg@lansstyrelsen.se,www.lansstyrelsen.se/kronoberg,2017:868,202100-2296,,,,,True,www.lansstyrelsen.se/kronoberg,,True,False
202100-2478,LÄNSSTYRELSEN I NORRBOTTENS LÄN,,971 86,LULEÅ,STATIONSGATAN 5,972 38,LULEÅ,0102255000,,Norrbotten@lansstyrelsen.se,www.lansstyrelsen.se/norrbotten,2017:868,202100-2478,,,,,True,www.lansstyrelsen.se/norrbotten,,True,False
202100-2346,LÄNSSTYRELSEN I SKÅNE LÄN,,205 15,MALMÖ,SÖDERGATAN 5,211 34,MALMÖ,0102241000,,skane@lansstyrelsen.se,www.lansstyrelsen.se/skane,2017:868,202100-2346,,,,,True,www.lansstyrelsen.se/skane,,True,False
202100-2247,LÄNSSTYRELSEN I STOCKHOLMS LÄN,BOX 22067,104 22,STOCKHOLM,REGERINGSGATAN 66,111 39,STOCKHOLM,0102231000,,stockholm@lansstyrelsen.se,www.lansstyrelsen.se/stockholm,2017:868,202100-2247,,,,,True,www.lansstyrelsen.se/stockholm,,True,False
202100-2262,LÄNSSTYRELSEN I SÖDERMANLANDS LÄN,,611 86,NYKÖPING,STORA TORGET 13,611 32,NYKÖPING,0102234000,,sodermanland@lansstyrelsen.se,www.lansstyrelsen.se/sodermanland,2017:868,202100-2262,,,,,True,www.lansstyrelsen.se/sodermanland,,True,False
202100-2254,LÄNSSTYRELSEN I UPPSALA LÄN,,751 86,UPPSALA,Bäverns gränd 17,753 19,UPPSALA,0102233000,,uppsala@lansstyrelsen.se,www.lansstyrelsen.se/uppsala,2017:868,202100-2254,,,,,True,www.lansstyrelsen.se/uppsala,,True,False
202100-2395,LÄNSSTYRELSEN I VÄRMLANDS LÄN,,651 86,KARLSTAD,VÅXNÄSGATAN 5,653 40,KARLSTAD,0102247000,,varmland@lansstyrelsen.se,www.lansstyrelsen.se/varmland,2017:868,202100-2395,,,,,True,www.lansstyrelsen.se/varmland,,True,False
202100-2460,LÄNSSTYRELSEN I VÄSTERBOTTENS LÄN,,901 86,UMEÅ,STORGATAN 71 B,903 30,UMEÅ,0102254000,,vasterbotten@lansstyrelsen.se,www.lansstyrelsen.se/vasterbotten,2017:868,202100-2460,,,,,True,www.lansstyrelsen.se/vasterbotten,,True,False
202100-2445,LÄNSSTYRELSEN I VÄSTERNORRLANDS LÄN,,871 86,HÄRNÖSAND,PUMPBACKSGATAN 19,871 31,HÄRNÖSAND,0611349000,,vasternorrland@lansstyrelsen.se,www.lansstyrelsen.se/vasternorrland,2017:868,202100-2445,,,,,True,www.lansstyrelsen.se/vasternorrland,,True,False
202100-2411,LÄNSSTYRELSEN I VÄSTMANLANDS LÄN,,721 86,VÄSTERÅS,VÄSTRA RINGVÄGEN 1,722 11,VÄSTERÅS,0102249000,,vastmanland@lansstyrelsen.se,www.lansstyrelsen.se/vastmanland,2017:868,202100-2411,,,,,True,www.lansstyrelsen.se/vastmanland,,True,False
202100-2361,LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN,,403 40,GÖTEBORG,SÖDRA HAMNGATAN 3,411 14,GÖTEBORG,0102244000,,vastragotaland@lansstyrelsen.se,www.lansstyrelsen.se/vastragotaland,2017:868,202100-2361,,,,,True,www.lansstyrelsen.se/vastragotaland,,True,False
202100-2403,LÄNSSTYRELSEN I ÖREBRO LÄN,,701 86,ÖREBRO,ÖSTRA BANGATAN 11,703 39,ÖREBRO,0102248000,,orebro@lansstyrelsen.se,www.lansstyrelsen.se/orebro,2017:868,202100-2403,,,,,True,www.lansstyrelsen.se/orebro,,True,False
202100-2270,LÄNSSTYRELSEN I ÖSTERGÖTLANDS LÄN,,581 86,LINKÖPING,ÖSTGÖTAGATAN 3,582 32,LINKÖPING,0102235000,,ostergotland@lansstyrelsen.se,www.lansstyrelsen.se/ostergotland,2017:868,202100-2270,,,,,True,www.lansstyrelsen.se/ostergotland,,True,False
202100-4920,MALMÖ UNIVERSITET,,205 06,MALMÖ,NORDENSKIÖLDSGATAN 1,211 19,MALMÖ,0406657000,,info@mau.se,www.mau.se,1993:100,202100-4920,,,,,True,www.mau.se,,True,False
202100-6347,MEDIEMYNDIGHETEN,KABYSSGATAN 4 D,120 30,STOCKHOLM,HAMMARBYBACKEN 31,120 30,STOCKHOLM,0858007000,,registrator@mediemyndigheten.se,www.mediemyndigheten.se,2023:844,202100-6347,,,,,True,www.mediemyndigheten.se,,True,False
202100-5174,MEDLINGSINSTITUTET,BOX 1236,111 82,STOCKHOLM,Drottninggatan 89,113 60,STOCKHOLM,,,info@mi.se,www.mi.se,2007:912,202100-5174,,,,,True,www.mi.se,,True,False
202100-2163,MIGRATIONSVERKET,,601 70,NORRKÖPING,SLOTTSGATAN 81-82,602 22,NORRKÖPING,0771235235,,registrator@migrationsverket.se,www.migrationsverket.se,2019:502,202100-2163,,,,,True,www.migrationsverket.se,,True,False
202100-4524,MITTUNIVERSITETET,,851 70,SUNDSVALL,HOLMGATAN 10,852 33,SUNDSVALL,0101428000,,registrator@miun.se,www.miun.se,1993:100,202100-4524,,,,,True,www.miun.se,,True,False
202100-5091,MODERNA MUSEET,Box 16382,103 27,STOCKHOLM,EXERCISPLAN 4  Skeppsholmen,111 49,STOCKHOLM,0852023500,,registrator@modernamuseet.se,www.modernamuseet.se,2007:1177,202100-5091,,,,,True,www.modernamuseet.se,,True,False
202100-6875,MYNDIGHETEN FÖR ARBETSMILJÖKUNSKAP,Norra Slottsgatan 9,803 20,GÄVLE,Norra Slottsgatan 8,803 20,GÄVLE,026148400,,info@mynak.se,www.mynak.se,2018:254,202100-6875,,,,,True,www.mynak.se,,True,False
202100-5588,MYNDIGHETEN FÖR DELAKTIGHET,BOX 47082,100 74,STOCKHOLM,Rosterigränd 12,117 61,STOCKHOLM,086008400,,info@mfd.se,www.mfd.se,2024:78,202100-5588,,,,,True,www.mfd.se,,True,False
202100-6883,MYNDIGHETEN FÖR DIGITAL FÖRVALTNING,BOX 14,851 02,SUNDSVALL,Jägargatan 1,852 37,SUNDSVALL,0771114400,,info@digg.se,www.digg.se,2018:1486,202100-6883,,,,,True,www.digg.se,,True,False
202100-4169,MYNDIGHETEN FÖR FAMILJERÄTT OCH FÖRÄLDRASKAPSSTÖD,BOX 35,931 21,SKELLEFTEÅ,NYGATAN 40 B,931 31,SKELLEFTEÅ,0101901100,,info@mfof.se,www.mfof.se,2017:292,202100-4169,,,,,True,www.mfof.se,,True,False
202100-6404,Myndigheten för kulturanalys,BOX 1001,405 21,GÖTEBORG,Södra Vägen 54,412 54,GÖTEBORG,0313952000,,info@kulturanalys.se,www.kulturanalys.se,2011:124,202100-6404,,,,,True,www.kulturanalys.se,,True,False
202100-7014,MYNDIGHETEN FÖR PSYKOLOGISKT FÖRSVAR,VÅXNÄSGATAN 10,653 40,KARLSTAD,VÅXNÄSGATAN 10,653 40,KARLSTAD,0101837000,,registrator@mpf.se,www.mpf.se,2021:936,202100-7014,,,,,True,www.mpf.se,,True,False
202100-5984,Myndigheten för samhällsskydd och beredskap (MSB),,651 81,KARLSTAD,PACKHUSALLÉN 2,652 12,KARLSTAD,0771240240,,registrator@msb.se,www.msb.se,2008:1002,202100-5984,,,,,True,www.msb.se,,True,False
202100-5141,Myndigheten för stöd till trossamfund,BOX 14038,167 14,BROMMA,GUSTAVSLUNDSVÄGEN 18,167 51,BROMMA,084536870,,info@myndighetensst.se,www.myndighetensst.se,2017:104,202100-5141,,,,,True,www.myndighetensst.se,,True,False
202100-3591,Myndigheten för tillgängliga medier,BOX 51,201 20,Malmö,Hans Michelsensgatan 2,211 20,MALMÖ,0406532700,,info@mtm.se,www.mtm.se,2010:769,202100-3591,,,,,True,www.mtm.se,,True,False
202100-6164,Myndigheten för tillväxtpolitiska utvärderingar och analyser,STUDENTPLAN 3,831 40,ÖSTERSUND,STUDENTPLAN 3,831 40,ÖSTERSUND,0104474400,,info@tillvaxtanalys.se,www.tillvaxtanalys.se,2016:1048,202100-6164,,,,,True,www.tillvaxtanalys.se,,True,False
202100-7055,MYNDIGHETEN FÖR TOTALFÖRSVARSANALYS,BOX 24250,104 51,STOCKHOLM,Karlavägen 104  9 tr,115 23,STOCKHOLM,0101605100,,registrator@mtfa.se,www.mtfa.se,2022:1768,202100-7055,,,,,True,www.mtfa.se,,True,False
202100-1173,MYNDIGHETEN FÖR UNGDOMS-OCH CIVILSAMHÄLLESFRÅGOR,BOX 206,351 05,VÄXJÖ,LIEDBERGSGATAN 4,352 30,VÄXJÖ,0101601000,,info@mucf.se,www.mucf.se,2018:1425,202100-1173,,,,,True,www.mucf.se,,True,False
202100-6412,Myndigheten för vård- och omsorgsanalys,BOX 6070,102 31,STOCKHOLM,DROTTNINGGATAN 89,113 60,STOCKHOLM,086904100,,registrator@vardanalys.se,www.vardanalys.se,2010:1385,202100-6412,,,,,True,www.vardanalys.se,,True,False
202100-6230,MYNDIGHETEN FÖR YRKESHÖGSKOLAN,BOX 145,721 05,VÄSTERÅS,INGENJÖR BÅÅTHS GATA 19,722 12,VÄSTERÅS,0102090100,,registrator@myh.se,www.myh.se,2011:1162,202100-6230,,,,,True,www.myh.se,,True,False
202100-2916,MÄLARDALENS UNIVERSITET,BOX 883,721 23,VÄSTERÅS,Universitetsplan 1,722 20,VÄSTERÅS,021101300,,registrator@mdu.se,www.mdu.se,1993:100,202100-2916,,,,,True,www.mdu.se,,True,False
202100-1108,NATIONALMUSEUM,BOX 16176,103 24,STOCKHOLM,SÖDRA BLASIEHOLMSHAMNEN 2  NATIONALMUSEIBYGGNADEN,111 48,STOCKHOLM,0851954300,,registrator@nationalmuseum.se,www.nationalmuseum.se,2007:1175,202100-1108,,,,,True,www.nationalmuseum.se,,True,False
202100-1124,NATURHISTORISKA RIKSMUSEET,BOX 50007,104 05,STOCKHOLM,FRESCATIVÄGEN 40,114 18,STOCKHOLM,0851954000,,registrator@nrm.se,www.nrm.se,2007:1176,202100-1124,,,,,True,www.nrm.se,,True,False
202100-1975,NATURVÅRDSVERKET,,106 48,STOCKHOLM,VIRKESVÄGEN 2,120 30,STOCKHOLM,0106981000,,registrator@naturvardsverket.se,www.naturvardsverket.se,2012:989,202100-1975,,,,,True,www.naturvardsverket.se,,True,False
202100-2726,NORDISKA AFRIKAINSTITUTET,BOX 1703,751 47,UPPSALA,VILLAVÄGEN 6,752 36,UPPSALA,0184715200,,nai@nai.uu.se,www.nai.uu.se,2021:371,202100-2726,,,,,True,www.nai.uu.se,,True,False
202100-6032,Notarienämnden,Box 2203,550 02,JÖNKÖPING,,000 00,JÖNKÖPING,036156800,,notarienamnden@dom.se,www.domstol.se/Om-Sveriges-Domstolar/Notarienamnden,2007:1076,202100-6032,,,,,True,www.domstol.se/om-sveriges-domstolar/notarienamnden,,True,False
202100-4144,NÄMNDEN FÖR HEMSLÖJDSFRÅGOR,BOX 4006,102 61,STOCKHOLM,Västgötagatan 5,118 27,STOCKHOLM,086819353,,nfh@nfh.se,www.nfh.se,2007:1193,202100-4144,,,,,True,www.nfh.se,,True,False
202100-6933,Nämnden för prövning av oredlighet i forskning,BOX 2110,750 02,UPPSALA,Dag Hammarskjölds väg 7,752 37,UPPSALA,0104573320,,registrator@npof.se,https://npof.se,2019:1152,202100-6933,,,,,True,npof.se,,True,False
202100-5786,NÄMNDEN FÖR STYRELSEREPRESENTATIONSFRÅGOR,,103 33,STOCKHOLM,,000 00,STOCKHOLM,084051000,,,www.regeringen.se/myndigheter-med-flera/namnden-for-styrelserepresentationsfragor,2007:909,202100-5786,,,,,True,www.regeringen.se/myndigheter-med-flera/namnden-for-styrelserepresentationsfragor,,True,False
202100-6206,Nämnden mot Diskriminering,BOX 2066,103 12,STOCKHOLM,,000 00,STOCKHOLM,0856166668,,kansliet@namndenmotdiskriminering.se,www.namndenmotdiskriminering.se,2008:1328,202100-6206,,,,,True,www.namndenmotdiskriminering.se,,True,False
202100-6776,Oljekrisnämnden,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,info@oljekrisnamnden.se,www.regeringen.se/myndigheter-med-flera/oljekrisnamnden,2007:1152,202100-6776,,,,,True,www.regeringen.se/myndigheter-med-flera/oljekrisnamnden,,True,False
202100-2072,PATENT- OCH REGISTRERINGSVERKET,BOX 5055,102 42,STOCKHOLM,VALHALLAVÄGEN 136,114 41,STOCKHOLM,087822800,,prv@prv.se,www.prv.se,2007:1111,202100-2072,,,,,True,www.prv.se,,True,False
202100-6370,PATENTOMBUDSNÄMNDEN,BOX 46,851 02,SUNDSVALL,,,,0771670670,,patentombudsnamnden@patentombudsnamnden.se,www.bolagsverket.se/om/oss/fler/patentombud,2010:1054,202100-6370,,,,,True,www.bolagsverket.se/om/oss/fler/patentombud,,True,False
202100-6255,PENSIONSMYNDIGHETEN,BOX 38190,100 64,STOCKHOLM,HORNSGATAN 168,117 28,STOCKHOLM,0771771771,,registrator@pensionsmyndigheten.se,www.pensionsmyndigheten.se,2009:1175,202100-6255,,,,,True,www.pensionsmyndigheten.se,,True,False
202100-4060,POLARFORSKNINGSSEKRETARIATET,,971 87,LULEÅ,VINTERGATAN 2,977 54,LULEÅ,0705502393,,office@polar.se,www.polar.se,2007:1072,202100-4060,,,,,True,www.polar.se,,True,False
202100-0076,POLISMYNDIGHETEN,BOX 12256,102 26,STOCKHOLM,POLHEMSGATAN 30,112 30,STOCKHOLM,11414,,registrator.kansli@polisen.se,www.polisen.se,2022:1718,202100-0076,,,,,True,www.polisen.se,,True,False
202100-4359,POST- OCH TELESTYRELSEN,BOX 6101,102 32,STOCKHOLM,HÄLSINGEGATAN 38,113 43,STOCKHOLM,,,pts@pts.se,www.pts.se,2007:951,202100-4359,,,,,True,www.pts.se,,True,False
202100-3831,REGERINGSKANSLIET,,103 33,STOCKHOLM,ROSENBAD 4,111 52,STOCKHOLM,084051000,,forvaltningsavdelningen.registrator@regeringskansliet.se,www.regeringen.se,1996:1515,202100-3831,,,,,True,www.regeringen.se,,True,False
202100-4805,REVISORSINSPEKTIONEN,BOX 24014,104 50,STOCKHOLM,KARLAVÄGEN 104,115 26,STOCKHOLM,087384600,,ri@revisorsinspektionen.se,www.revisorsinspektionen.se,2007:1077,202100-4805,,,,,True,www.revisorsinspektionen.se,,True,False
202100-1090,RIKSANTIKVARIEÄMBETET,BOX 1114,621 22,VISBY,STORGATAN 41,114 55,STOCKHOLM,0851918000,,registrator@raa.se,www.raa.se,2014:1585,202100-1090,,,,,True,www.raa.se,,True,False
202100-1074,RIKSARKIVET,BOX 7223,187 13,TÄBY,Fyrverkarbacken 13,112 60,STOCKHOLM,0104767000,,riksarkivet@riksarkivet.se,www.riksarkivet.se,2009:1593,202100-1074,,,,,True,www.riksarkivet.se,,True,False
202100-2635,RIKSGÄLDSKONTORET,,103 74,STOCKHOLM,Olof Palmes gata 17,111 22,STOCKHOLM,086134500,,riksgalden@riksgalden.se,www.riksgalden.se,2023:909,202100-2635,,,,,True,www.riksgalden.se,,True,False
202100-6784,Riksvärderingsnämnden,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:859,202100-6784,,,,,True,,,False,False
202100-2585,RYMDSTYRELSEN,BOX 4006,171 04,SOLNA,Hemvärnsgatan 9,171 54,SOLNA,0840907700,,rymdstyrelsen@snsa.se,www.rymdstyrelsen.se,2007:1115,202100-2585,,,,,True,www.rymdstyrelsen.se,,True,False
202100-6008,Rättshjälpnämnden,Box 170,851 03,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,060186891,,rattshjalpsnamnden@dom.se,www.domstol.se/rattshjalpsnamnden,2007:1079,202100-6008,,,,,True,www.domstol.se/rattshjalpsnamnden,,True,False
202100-6016,Rättshjälpsmyndigheten,Box 853,851 24,SUNDSVALL,Storgatan 39,852 33,SUNDSVALL,060134600,,rattshjalpsmyndigheten@dom.se,www.rattshjalp.se,2007:1078,202100-6016,,,,,True,www.rattshjalp.se,,True,False
202100-4227,RÄTTSMEDICINALVERKET,BOX 206,101 24,STOCKHOLM,Västra Järnvägsgatan 3  Plan 5,111 64,STOCKHOLM,0104834100,,rmv@rmv.se,www.rmv.se,2007:976,202100-4227,,,,,True,www.rmv.se,,True,False
202100-4631,SAMESKOLSTYRELSEN,BOX 155,962 24,JOKKMOKK,LÄRARGATAN 2,962 31,JOKKMOKK,097144200,,sameskolstyrelsen@sameskolstyrelsen.se,www.sameskolstyrelsen.se,2011:131,202100-4631,,,,,True,www.sameskolstyrelsen.se,,True,False
202100-4573,SAMETINGET,BOX 90,981 22,KIRUNA,Adolf Hedinsvägen 58,981 33,KIRUNA,098078030,,kansli@sametinget.se,www.sametinget.se,2009:1395,202100-4573,,,,,True,www.sametinget.se,,True,False
202100-4789,Sida,BOX 2025,174 02,SUNDBYBERG,Rissneleden 110,174 57,SUNDBYBERG,086985000,,sida@sida.se,www.sida.se,2025:269,202100-4789,,,,,True,www.sida.se,,True,False
202100-5901,Skatterättsnämnden,Box 24144,104 51,STOCKHOLM,Karlavägen 108,115 26,STOCKHOLM,0105747957,,kansliet@skatterattsnamnden.se,www.skatterattsnamnden.se,2007:785,202100-5901,,,,,True,www.skatterattsnamnden.se,,True,False
202100-5448,SKATTEVERKET,,205 30,MALMÖ,STUREGATAN 4,172 31,SUNDBYBERG,0771567567,,registrator@skatteverket.se,www.skatteverket.se,2017:154,202100-5448,,,,,True,www.skatteverket.se,,True,False
202100-5869,Skiljenämnden i vissa trygghetsfrågor,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,087000800,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor,2007:830,202100-5869,,,,,True,www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor,,True,False
202100-5612,SKOGSSTYRELSEN,,551 83,JÖNKÖPING,SKEPPSBROGATAN 2,553 29,JÖNKÖPING,036359300,,skogsstyrelsen@skogsstyrelsen.se,www.skogsstyrelsen.se,2009:1393,202100-5612,,,,,True,www.skogsstyrelsen.se,,True,False
202100-6602,SKOLFORSKNINGSINSTITUTET,BOX 17178,104 62,STOCKHOLM,Västgötagatan 5,118 27,STOCKHOLM,0852729800,,info@skolfi.se,www.skolfi.se,2014:1578,202100-6602,,,,,True,www.skolfi.se,,True,False
202100-5729,SKOLVÄSENDETS ÖVERKLAGANDENÄMND,BOX 23069,104 35,STOCKHOLM,Sveavägen 159,113 46,STOCKHOLM,087297760,,overklagandenamnden@overklagandenamnden.se,www.overklagandenamnden.se,2007:948,202100-5729,,,,,True,www.overklagandenamnden.se,,True,False
202100-0555,SOCIALSTYRELSEN,,106 30,STOCKHOLM,RÅLAMBSVÄGEN 3,112 59,STOCKHOLM,0752473000,,socialstyrelsen@socialstyrelsen.se,www.socialstyrelsen.se,2015:284,202100-0555,,,,,True,www.socialstyrelsen.se,,True,False
202100-5745,SPECIALPEDAGOGISKA SKOLMYNDIGHETEN,BOX 1100,871 29,HÄRNÖSAND,NYBROGATAN 14 C,871 31,HÄRNÖSAND,0104735000,,spsm@spsm.se,www.spsm.se,2011:130,202100-5745,,,,,True,www.spsm.se,,True,False
202100-3310,SPELINSPEKTIONEN,BOX 199,645 23,STRÄNGNÄS,FINNINGEVÄGEN 54 B,645 42,STRÄNGNÄS,0152650100,,registrator@spelinspektionen.se,www.lotteriinspektionen.se,2018:1476,202100-3310,,,,,True,www.lotteriinspektionen.se,,True,False
202100-5836,Statens ansvarsnämnd,Box 2290,103 17,STOCKHOLM,Birger Jarls torg 16  Riddarholmen,111 28,STOCKHOLM,0856167131,,ansvarsnamnden@dom.se,www.statensansvarsnamnd.se,2007:831,202100-5836,,,,,True,www.statensansvarsnamnd.se,,True,False
202100-4417,STATENS BEREDNING FÖR MEDICINSK OCH SOCIAL UTVÄRDERING,BOX 6183,102 33,STOCKHOLM,SANKT ERIKSGATAN 117,113 43,STOCKHOLM,084123200,,registrator@sbu.se,www.sbu.se,2007:1233,202100-4417,,,,,True,www.sbu.se,,True,False
202100-3427,Statens centrum för arkitektur och design,BOX 16410,103 27,STOCKHOLM,EXERCISPLAN 4,111 49,STOCKHOLM,0852023500,,info@arkdes.se,www.arkdes.se,2013:71,202100-3427,,,,,True,www.arkdes.se,,True,False
202100-5000,STATENS ENERGIMYNDIGHET,BOX 310,631 04,ESKILSTUNA,GREDBYVÄGEN 10,632 21,ESKILSTUNA,0165442000,,registrator@energimyndigheten.se,www.energimyndigheten.se,2025:784,202100-5000,,,,,True,www.energimyndigheten.se,,True,False
202100-4474,STATENS FASTIGHETSVERK,BOX 2263,103 16,STOCKHOLM,SANKT PAULSGATAN 6,118 46,STOCKHOLM,0104787000,,sfv@sfv.se,www.sfv.se,2007:757,202100-4474,,,,,True,www.sfv.se,,True,False
202100-0464,STATENS FÖRSVARSHISTORISKA MUSEER,BOX 14095,104 41,STOCKHOLM,RIDDARGATAN 13,114 51,STOCKHOLM,0851956310,,info@sfhm.se,www.sfhm.se,2007:1178,202100-0464,,,,,True,www.sfhm.se,,True,False
202100-0712,STATENS GEOTEKNISKA INSTITUT,,581 93,LINKÖPING,OLAUS MAGNUS VÄG 35,583 30,LINKÖPING,013201800,,sgi@sgi.se,www.swedgeo.se,2009:945,202100-0712,,,,,True,www.swedgeo.se,,True,False
202100-3260,STATENS HAVERIKOMMISSION,BOX 6014,102 31,STOCKHOLM,SVEAVÄGEN 151  6 TR.,113 46,STOCKHOLM,0850886200,,info@shk.se,www.shk.se,2007:860,202100-3260,,,,,True,www.shk.se,,True,False
202100-4953,STATENS HISTORISKA MUSEER,BOX 5428,114 84,STOCKHOLM,Storgatan 41,114 55,STOCKHOLM,0851955600,,registrator@shm.se,www.shm.se,2014:1079,202100-4953,,,,,True,www.shm.se,,True,False
202100-6214,Statens inspektion för försvarsunderrättelseverksamheten (SIUN),Box 1140,164 22,KISTA,GULLFOSSGATAN 6,164 40,KISTA,0855504550,,registrator@siun.se,www.siun.se,2009:969,202100-6214,,,,,True,www.siun.se,,True,False
202100-4508,STATENS INSTITUTIONSSTYRELSE,BOX 1062,171 22,SOLNA,SVETSARVÄGEN 10,171 41,SOLNA,0104534000,,registrator@stat-inst.se,www.stat-inst.se,2007:1132,202100-4508,,,,,True,www.stat-inst.se,,True,False
202100-4151,STATENS JORDBRUKSVERK,,551 82,JÖNKÖPING,Skeppsbrogatan 2,553 29,JÖNKÖPING,036155000,,jordbruksverket@jordbruksverket.se,www.jordbruksverket.se,2009:1464,202100-4151,,,,,True,www.jordbruksverket.se,,True,False
202100-1033,STATENS KONSTRÅD,SVENSKSUNDSVÄGEN 11 A,111 49,STOCKHOLM,SVENSKSUNDSVÄGEN 11 A,111 49,STOCKHOLM,084401280,,registrator@statenskonstrad.se,www.statenskonstrad.se,2007:1188,202100-1033,,,,,True,www.statenskonstrad.se,,True,False
202100-1280,STATENS KULTURRÅD,BOX 27215,102 53,STOCKHOLM,BORGVÄGEN 1-5,115 53,STOCKHOLM,0851926400,,kulturradet@kulturradet.se,www.kulturradet.se,2012:515,202100-1280,,,,,True,www.kulturradet.se,,True,False
202100-1132,STATENS MARITIMA OCH TRANSPORTHISTORISKA MUSEER,BOX 48,371 21,KARLSKRONA,Bastionsgatan 5,371 32,KARLSKRONA,0455359300,,registrator@smtm.se,www.smtm.se,2007:1198,202100-1132,,,,,True,www.smtm.se,,True,False
202100-5075,STATENS MUSEER FÖR VÄRLDSKULTUR,BOX 5306,402 27,GÖTEBORG,Södra Vägen 54,412 54,GÖTEBORG,0104561200,,registrator@varldskulturmuseerna.se,www.varldskulturmuseerna.se,2007:1185,202100-5075,,,,,True,www.varldskulturmuseerna.se,,True,False
202100-3666,STATENS MUSIKVERK,BOX 16326,103 26,STOCKHOLM,SIBYLLEGATAN 2,114 51,STOCKHOLM,0851955450,,registrator@musikverket.se,www.musikverket.se,2010:1922,202100-3666,,,,,True,www.musikverket.se,,True,False
202100-5778,STATENS NÄMND FÖR ARBETSTAGARES UPPFINNINGAR,,103 33,STOCKHOLM,,000 00,STOCKHOLM,084051000,,,www.regeringen.se/myndigheter-med-flera/statens-namnd-for-arbetstagares-uppfinningar2/,2007:908,202100-5778,,,,,True,www.regeringen.se/myndigheter-med-flera/statens-namnd-for-arbetstagares-uppfinningar2,,True,False
202100-6453,Statens servicecenter,FE 15,801 71,GÄVLE,RUDDAMMSGATAN 30,803 20,GÄVLE,0771456000,,registrator@statenssc.se,www.statenssc.se,2012:208,202100-6453,,,,,True,www.statenssc.se,,True,False
202100-5828,Statens skaderegleringsnämnd,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,087000800,,,http://www.kammarkollegiet.se/n-mndmyndigheter/skaderegleringsn-mnden,2007:826,202100-5828,,,,,True,www.kammarkollegiet.se/n-mndmyndigheter/skaderegleringsn-mnden,,True,False
202100-6065,Statens skolinspektion,BOX 23069,104 35,STOCKHOLM,Sveavägen 159  6tr,113 46,STOCKHOLM,0858608000,,skolinspektionen@skolinspektionen.se,www.skolinspektionen.se,2011:556,202100-6065,,,,,True,www.skolinspektionen.se,,True,False
202100-4185,STATENS SKOLVERK,Box 4002,171 04,SOLNA,Svetsarvägen 16,171 41,SOLNA,0852733200,,registrator@skolverket.se,www.skolverket.se,2015:1047,202100-4185,,,,,True,www.skolverket.se,,True,False
202100-5851,Statens tjänstepensions- och grupplivnämnd,,851 90,SUNDSVALL,Jägargatan 1,852 37,SUNDSVALL,020650065,,kundservice@spv.se,www.spv.se,2007:833,202100-5851,,,,,True,www.spv.se,,True,False
202100-0928,STATENS TJÄNSTEPENSIONSVERK,,851 90,SUNDSVALL,JÄGARGATAN 1,852 37,SUNDSVALL,,,kundservice@spv.se,www.spv.se,2007:832,202100-0928,,,,,True,www.spv.se,,True,False
