Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort
202100-2247,LÄNSSTYRELSEN I STOCKHOLMS LÄN,BOX 22067,104 22,STOCKHOLM,REGERINGSGATAN 66,111 39,STOCKHOLM,102231000.0,,stockholm@lansstyrelsen.se,www.lansstyrelsen.se/stockholm,2017:868,,,,,,,,,,,,,,,,,
202100-2262,LÄNSSTYRELSEN I SÖDERMANLANDS LÄN,,611 86,NYKÖPING,STORA TORGET 13,611 32,NYKÖPING,102234000.0,,sodermanland@lansstyrelsen.se,www.lansstyrelsen.se/sodermanland,2017:868,,,,,,,,,,,,,,,,,
202100-2254,LÄNSSTYRELSEN I UPPSALA LÄN,,751 86,UPPSALA,Bäverns gränd 17,753 19,UPPSALA,102233000.0,,uppsala@lansstyrelsen.se,www.lansstyrelsen.se/uppsala,2017:868,,,,,,,,,,,,,,,,,
202100-2395,LÄNSSTYRELSEN I VÄRMLANDS LÄN,,651 86,KARLSTAD,VÅXNÄSGATAN 5,653 40,KARLSTAD,102247000.0,,varmland@lansstyrelsen.se,www.lansstyrelsen.se/varmland,2017:868,,,,,,,,,,,,,,,,,
202100-2460,LÄNSSTYRELSEN I VÄSTERBOTTENS LÄN,,901 86,UMEÅ,STORGATAN 71 B,903 30,UMEÅ,102254000.0,,vasterbotten@lansstyrelsen.se,www.lansstyrelsen.se/vasterbotten,2017:868,,,,,,,,,,,,,,,,,
202100-2445,LÄNSSTYRELSEN I VÄSTERNORRLANDS LÄN,,871 86,HÄRNÖSAND,PUMPBACKSGATAN 19,871 31,HÄRNÖSAND,611349000.0,,vasternorrland@lansstyrelsen.se,www.lansstyrelsen.se/vasternorrland,2017:868,,,,,,,,,,,,,,,,,
202100-2411,LÄNSSTYRELSEN I VÄSTMANLANDS LÄN,,721 86,VÄSTERÅS,VÄSTRA RINGVÄGEN 1,722 11,VÄSTERÅS,102249000.0,,vastmanland@lansstyrelsen.se,www.lansstyrelsen.se/vastmanland,2017:868,,,,,,,,,,,,,,,,,
202100-2361,LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN,,403 40,GÖTEBORG,SÖDRA HAMNGATAN 3,411 14,GÖTEBORG,102244000.0,,vastragotaland@lansstyrelsen.se,www.lansstyrelsen.se/vastragotaland,2017:868,,,,,,,,,,,,,,,,,
202100-2403,LÄNSSTYRELSEN I ÖREBRO LÄN,,701 86,ÖREBRO,ÖSTRA BANGATAN 11,703 39,ÖREBRO,102248000.0,,orebro@lansstyrelsen.se,www.lansstyrelsen.se/orebro,2017:868,,,,,,,,,,,,,,,,,
202100-2270,LÄNSSTYRELSEN I ÖSTERGÖTLANDS LÄN,,581 86,LINKÖPING,ÖSTGÖTAGATAN 3,582 32,LINKÖPING,102235000.0,,ostergotland@lansstyrelsen.se,www.lansstyrelsen.se/ostergotland,2017:868,,,,,,,,,,,,,,,,,
202100-4920,MALMÖ UNIVERSITET,,205 06,MALMÖ,NORDENSKIÖLDSGATAN 1,211 19,MALMÖ,406657000.0,,info@mau.se,www.mau.se,1993:100,,,,,,,,,,,,,,,,,
202100-6347,MEDIEMYNDIGHETEN,KABYSSGATAN 4 D,120 30,STOCKHOLM,HAMMARBYBACKEN 31,120 30,STOCKHOLM,858007000.0,,registrator@mediemyndigheten.se,www.mediemyndigheten.se,2023:844,,,,,,,,,,,,,,,,,
202100-5174,MEDLINGSINSTITUTET,BOX 1236,111 82,STOCKHOLM,Drottninggatan 89,113 60,STOCKHOLM,,,info@mi.se,www.mi.se,2007:912,,,,,,,,,,,,,,,,,
202100-2163,MIGRATIONSVERKET,,601 70,NORRKÖPING,SLOTTSGATAN 81-82,602 22,NORRKÖPING,771235235.0,,registrator@migrationsverket.se,www.migrationsverket.se,2019:502,,,,,,,,,,,,,,,,,
202100-4524,MITTUNIVERSITETET,,851 70,SUNDSVALL,HOLMGATAN 10,852 33,SUNDSVALL,101428000.0,,registrator@miun.se,www.miun.se,1993:100,,,,,,,,,,,,,,,,,
202100-5091,MODERNA MUSEET,Box 16382,103 27,STOCKHOLM,EXERCISPLAN 4  Skeppsholmen,111 49,STOCKHOLM,852023500.0,,registrator@modernamuseet.se,www.modernamuseet.se,2007:1177,,,,,,,,,,,,,,,,,
202100-6875,MYNDIGHETEN FÖR ARBETSMILJÖKUNSKAP,Norra Slottsgatan 9,803 20,GÄVLE,Norra Slottsgatan 8,803 20,GÄVLE,26148400.0,,info@mynak.se,www.mynak.se,2018:254,,,,,,,,,,,,,,,,,
202100-5588,MYNDIGHETEN FÖR DELAKTIGHET,BOX 47082,100 74,STOCKHOLM,Rosterigränd 12,117 61,STOCKHOLM,86008400.0,,info@mfd.se,www.mfd.se,2024:78,,,,,,,,,,,,,,,,,
202100-6883,MYNDIGHETEN FÖR DIGITAL FÖRVALTNING,BOX 14,851 02,SUNDSVALL,Jägargatan 1,852 37,SUNDSVALL,771114400.0,,info@digg.se,www.digg.se,2018:1486,,,,,,,,,,,,,,,,,
202100-4169,MYNDIGHETEN FÖR FAMILJERÄTT OCH FÖRÄLDRASKAPSSTÖD,BOX 35,931 21,SKELLEFTEÅ,NYGATAN 40 B,931 31,SKELLEFTEÅ,101901100.0,,info@mfof.se,www.mfof.se,2017:292,,,,,,,,,,,,,,,,,
202100-6404,Myndigheten för kulturanalys,BOX 1001,405 21,GÖTEBORG,Södra Vägen 54,412 54,GÖTEBORG,313952000.0,,info@kulturanalys.se,www.kulturanalys.se,2011:124,,,,,,,,,,,,,,,,,
202100-7014,MYNDIGHETEN FÖR PSYKOLOGISKT FÖRSVAR,VÅXNÄSGATAN 10,653 40,KARLSTAD,VÅXNÄSGATAN 10,653 40,KARLSTAD,101837000.0,,registrator@mpf.se,www.mpf.se,2021:936,,,,,,,,,,,,,,,,,
202100-5984,Myndigheten för samhällsskydd och beredskap (MSB),,651 81,KARLSTAD,PACKHUSALLÉN 2,652 12,KARLSTAD,771240240.0,,registrator@msb.se,www.msb.se,2008:1002,,,,,,,,,,,,,,,,,
202100-5141,Myndigheten för stöd till trossamfund,BOX 14038,167 14,BROMMA,GUSTAVSLUNDSVÄGEN 18,167 51,BROMMA,84536870.0,,info@myndighetensst.se,www.myndighetensst.se,2017:104,,,,,,,,,,,,,,,,,
202100-3591,Myndigheten för tillgängliga medier,BOX 51,201 20,Malmö,Hans Michelsensgatan 2,211 20,MALMÖ,406532700.0,,info@mtm.se,www.mtm.se,2010:769,,,,,,,,,,,,,,,,,
202100-6164,Myndigheten för tillväxtpolitiska utvärderingar och analyser,STUDENTPLAN 3,831 40,ÖSTERSUND,STUDENTPLAN 3,831 40,ÖSTERSUND,104474400.0,,info@tillvaxtanalys.se,www.tillvaxtanalys.se,2016:1048,,,,,,,,,,,,,,,,,
202100-7055,MYNDIGHETEN FÖR TOTALFÖRSVARSANALYS,BOX 24250,104 51,STOCKHOLM,Karlavägen 104  9 tr,115 23,STOCKHOLM,101605100.0,,registrator@mtfa.se,www.mtfa.se,2022:1768,,,,,,,,,,,,,,,,,
202100-1173,MYNDIGHETEN FÖR UNGDOMS-OCH CIVILSAMHÄLLESFRÅGOR,BOX 206,351 05,VÄXJÖ,LIEDBERGSGATAN 4,352 30,VÄXJÖ,101601000.0,,info@mucf.se,www.mucf.se,2018:1425,,,,,,,,,,,,,,,,,
202100-6412,Myndigheten för vård- och omsorgsanalys,BOX 6070,102 31,STOCKHOLM,DROTTNINGGATAN 89,113 60,STOCKHOLM,86904100.0,,registrator@vardanalys.se,www.vardanalys.se,2010:1385,,,,,,,,,,,,,,,,,
202100-6230,MYNDIGHETEN FÖR YRKESHÖGSKOLAN,BOX 145,721 05,VÄSTERÅS,INGENJÖR BÅÅTHS GATA 19,722 12,VÄSTERÅS,102090100.0,,registrator@myh.se,www.myh.se,2011:1162,,,,,,,,,,,,,,,,,
202100-2916,MÄLARDALENS UNIVERSITET,BOX 883,721 23,VÄSTERÅS,Universitetsplan 1,722 20,VÄSTERÅS,21101300.0,,registrator@mdu.se,www.mdu.se,1993:100,,,,,,,,,,,,,,,,,
202100-1108,NATIONALMUSEUM,BOX 16176,103 24,STOCKHOLM,SÖDRA BLASIEHOLMSHAMNEN 2  NATIONALMUSEIBYGGNADEN,111 48,STOCKHOLM,851954300.0,,registrator@nationalmuseum.se,www.nationalmuseum.se,2007:1175,,,,,,,,,,,,,,,,,
202100-1124,NATURHISTORISKA RIKSMUSEET,BOX 50007,104 05,STOCKHOLM,FRESCATIVÄGEN 40,114 18,STOCKHOLM,851954000.0,,registrator@nrm.se,www.nrm.se,2007:1176,,,,,,,,,,,,,,,,,
202100-1975,NATURVÅRDSVERKET,,106 48,STOCKHOLM,VIRKESVÄGEN 2,120 30,STOCKHOLM,106981000.0,,registrator@naturvardsverket.se,www.naturvardsverket.se,2012:989,,,,,,,,,,,,,,,,,
202100-2726,NORDISKA AFRIKAINSTITUTET,BOX 1703,751 47,UPPSALA,VILLAVÄGEN 6,752 36,UPPSALA,184715200.0,,nai@nai.uu.se,www.nai.uu.se,2021:371,,,,,,,,,,,,,,,,,
202100-6032,Notarienämnden,Box 2203,550 02,JÖNKÖPING,,000 00,JÖNKÖPING,36156800.0,,notarienamnden@dom.se,www.domstol.se/Om-Sveriges-Domstolar/Notarienamnden,2007:1076,,,,,,,,,,,,,,,,,
202100-4144,NÄMNDEN FÖR HEMSLÖJDSFRÅGOR,BOX 4006,102 61,STOCKHOLM,Västgötagatan 5,118 27,STOCKHOLM,86819353.0,,nfh@nfh.se,www.nfh.se,2007:1193,,,,,,,,,,,,,,,,,
202100-6933,Nämnden för prövning av oredlighet i forskning,BOX 2110,750 02,UPPSALA,Dag Hammarskjölds väg 7,752 37,UPPSALA,104573320.0,,registrator@npof.se,https://npof.se,2019:1152,,,,,,,,,,,,,,,,,
202100-5786,NÄMNDEN FÖR STYRELSEREPRESENTATIONSFRÅGOR,,103 33,STOCKHOLM,,000 00,STOCKHOLM,84051000.0,,,www.regeringen.se/myndigheter-med-flera/namnden-for-styrelserepresentationsfragor,2007:909,,,,,,,,,,,,,,,,,
202100-6206,Nämnden mot Diskriminering,BOX 2066,103 12,STOCKHOLM,,000 00,STOCKHOLM,856166668.0,,kansliet@namndenmotdiskriminering.se,www.namndenmotdiskriminering.se,2008:1328,,,,,,,,,,,,,,,,,
202100-6776,Oljekrisnämnden,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,info@oljekrisnamnden.se,www.regeringen.se/myndigheter-med-flera/oljekrisnamnden,2007:1152,,,,,,,,,,,,,,,,,
202100-2072,PATENT- OCH REGISTRERINGSVERKET,BOX 5055,102 42,STOCKHOLM,VALHALLAVÄGEN 136,114 41,STOCKHOLM,87822800.0,,prv@prv.se,www.prv.se,2007:1111,,,,,,,,,,,,,,,,,
202100-6370,PATENTOMBUDSNÄMNDEN,BOX 46,851 02,SUNDSVALL,,,,771670670.0,,patentombudsnamnden@patentombudsnamnden.se,www.bolagsverket.se/om/oss/fler/patentombud,2010:1054,,,,,,,,,,,,,,,,,
202100-6255,PENSIONSMYNDIGHETEN,BOX 38190,100 64,STOCKHOLM,HORNSGATAN 168,117 28,STOCKHOLM,771771771.0,,registrator@pensionsmyndigheten.se,www.pensionsmyndigheten.se,2009:1175,,,,,,,,,,,,,,,,,
202100-4060,POLARFORSKNINGSSEKRETARIATET,,971 87,LULEÅ,VINTERGATAN 2,977 54,LULEÅ,705502393.0,,office@polar.se,www.polar.se,2007:1072,,,,,,,,,,,,,,,,,
202100-0076,POLISMYNDIGHETEN,BOX 12256,102 26,STOCKHOLM,POLHEMSGATAN 30,112 30,STOCKHOLM,11414.0,,registrator.kansli@polisen.se,www.polisen.se,2022:1718,,,,,,,,,,,,,,,,,
202100-4359,POST- OCH TELESTYRELSEN,BOX 6101,102 32,STOCKHOLM,HÄLSINGEGATAN 38,113 43,STOCKHOLM,,,pts@pts.se,www.pts.se,2007:951,,,,,,,,,,,,,,,,,
202100-3831,REGERINGSKANSLIET,,103 33,STOCKHOLM,ROSENBAD 4,111 52,STOCKHOLM,84051000.0,,forvaltningsavdelningen.registrator@regeringskansliet.se,www.regeringen.se,1996:1515,,,,,,,,,,,,,,,,,
202100-4805,REVISORSINSPEKTIONEN,BOX 24014,104 50,STOCKHOLM,KARLAVÄGEN 104,115 26,STOCKHOLM,87384600.0,,ri@revisorsinspektionen.se,www.revisorsinspektionen.se,2007:1077,,,,,,,,,,,,,,,,,
202100-1090,RIKSANTIKVARIEÄMBETET,BOX 1114,621 22,VISBY,STORGATAN 41,114 55,STOCKHOLM,851918000.0,,registrator@raa.se,www.raa.se,2014:1585,,,,,,,,,,,,,,,,,
202100-1074,RIKSARKIVET,BOX 7223,187 13,TÄBY,Fyrverkarbacken 13,112 60,STOCKHOLM,104767000.0,,riksarkivet@riksarkivet.se,www.riksarkivet.se,2009:1593,,,,,,,,,,,,,,,,,
202100-2635,RIKSGÄLDSKONTORET,,103 74,STOCKHOLM,Olof Palmes gata 17,111 22,STOCKHOLM,86134500.0,,riksgalden@riksgalden.se,www.riksgalden.se,2023:909,,,,,,,,,,,,,,,,,
202100-6784,Riksvärderingsnämnden,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,2007:859,,,,,,,,,,,,,,,,,
202100-2585,RYMDSTYRELSEN,BOX 4006,171 04,SOLNA,Hemvärnsgatan 9,171 54,SOLNA,840907700.0,,rymdstyrelsen@snsa.se,www.rymdstyrelsen.se,2007:1115,,,,,,,,,,,,,,,,,
202100-6008,Rättshjälpnämnden,Box 170,851 03,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,60186891.0,,rattshjalpsnamnden@dom.se,www.domstol.se/rattshjalpsnamnden,2007:1079,,,,,,,,,,,,,,,,,
202100-6016,Rättshjälpsmyndigheten,Box 853,851 24,SUNDSVALL,Storgatan 39,852 33,SUNDSVALL,60134600.0,,rattshjalpsmyndigheten@dom.se,www.rattshjalp.se,2007:1078,,,,,,,,,,,,,,,,,
202100-4227,RÄTTSMEDICINALVERKET,BOX 206,101 24,STOCKHOLM,Västra Järnvägsgatan 3  Plan 5,111 64,STOCKHOLM,104834100.0,,rmv@rmv.se,www.rmv.se,2007:976,,,,,,,,,,,,,,,,,
202100-4631,SAMESKOLSTYRELSEN,BOX 155,962 24,JOKKMOKK,LÄRARGATAN 2,962 31,JOKKMOKK,97144200.0,,sameskolstyrelsen@sameskolstyrelsen.se,www.sameskolstyrelsen.se,2011:131,,,,,,,,,,,,,,,,,
202100-4573,SAMETINGET,BOX 90,981 22,KIRUNA,Adolf Hedinsvägen 58,981 33,KIRUNA,98078030.0,,kansli@sametinget.se,www.sametinget.se,2009:1395,,,,,,,,,,,,,,,,,
202100-4789,Sida,BOX 2025,174 02,SUNDBYBERG,Rissneleden 110,174 57,SUNDBYBERG,86985000.0,,sida@sida.se,www.sida.se,2025:269,,,,,,,,,,,,,,,,,
202100-5901,Skatterättsnämnden,Box 24144,104 51,STOCKHOLM,Karlavägen 108,115 26,STOCKHOLM,105747957.0,,kansliet@skatterattsnamnden.se,www.skatterattsnamnden.se,2007:785,,,,,,,,,,,,,,,,,
202100-5448,SKATTEVERKET,,205 30,MALMÖ,STUREGATAN 4,172 31,SUNDBYBERG,771567567.0,,registrator@skatteverket.se,www.skatteverket.se,2017:154,,,,,,,,,,,,,,,,,
202100-5869,Skiljenämnden i vissa trygghetsfrågor,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor,2007:830,,,,,,,,,,,,,,,,,
202100-5612,SKOGSSTYRELSEN,,551 83,JÖNKÖPING,SKEPPSBROGATAN 2,553 29,JÖNKÖPING,36359300.0,,skogsstyrelsen@skogsstyrelsen.se,www.skogsstyrelsen.se,2009:1393,,,,,,,,,,,,,,,,,
202100-6602,SKOLFORSKNINGSINSTITUTET,BOX 17178,104 62,STOCKHOLM,Västgötagatan 5,118 27,STOCKHOLM,852729800.0,,info@skolfi.se,www.skolfi.se,2014:1578,,,,,,,,,,,,,,,,,
202100-5729,SKOLVÄSENDETS ÖVERKLAGANDENÄMND,BOX 23069,104 35,STOCKHOLM,Sveavägen 159,113 46,STOCKHOLM,87297760.0,,overklagandenamnden@overklagandenamnden.se,www.overklagandenamnden.se,2007:948,,,,,,,,,,,,,,,,,
202100-0555,SOCIALSTYRELSEN,,106 30,STOCKHOLM,RÅLAMBSVÄGEN 3,112 59,STOCKHOLM,752473000.0,,socialstyrelsen@socialstyrelsen.se,www.socialstyrelsen.se,2015:284,,,,,,,,,,,,,,,,,
202100-5745,SPECIALPEDAGOGISKA SKOLMYNDIGHETEN,BOX 1100,871 29,HÄRNÖSAND,NYBROGATAN 14 C,871 31,HÄRNÖSAND,104735000.0,,spsm@spsm.se,www.spsm.se,2011:130,,,,,,,,,,,,,,,,,
202100-3310,SPELINSPEKTIONEN,BOX 199,645 23,STRÄNGNÄS,FINNINGEVÄGEN 54 B,645 42,STRÄNGNÄS,152650100.0,,registrator@spelinspektionen.se,www.lotteriinspektionen.se,2018:1476,,,,,,,,,,,,,,,,,
202100-5836,Statens ansvarsnämnd,Box 2290,103 17,STOCKHOLM,Birger Jarls torg 16  Riddarholmen,111 28,STOCKHOLM,856167131.0,,ansvarsnamnden@dom.se,www.statensansvarsnamnd.se,2007:831,,,,,,,,,,,,,,,,,
202100-4417,STATENS BEREDNING FÖR MEDICINSK OCH SOCIAL UTVÄRDERING,BOX 6183,102 33,STOCKHOLM,SANKT ERIKSGATAN 117,113 43,STOCKHOLM,84123200.0,,registrator@sbu.se,www.sbu.se,2007:1233,,,,,,,,,,,,,,,,,
202100-3427,Statens centrum för arkitektur och design,BOX 16410,103 27,STOCKHOLM,EXERCISPLAN 4,111 49,STOCKHOLM,852023500.0,,info@arkdes.se,www.arkdes.se,2013:71,,,,,,,,,,,,,,,,,
202100-5000,STATENS ENERGIMYNDIGHET,BOX 310,631 04,ESKILSTUNA,GREDBYVÄGEN 10,632 21,ESKILSTUNA,165442000.0,,registrator@energimyndigheten.se,www.energimyndigheten.se,2025:784,,,,,,,,,,,,,,,,,
202100-4474,STATENS FASTIGHETSVERK,BOX 2263,103 16,STOCKHOLM,SANKT PAULSGATAN 6,118 46,STOCKHOLM,104787000.0,,sfv@sfv.se,www.sfv.se,2007:757,,,,,,,,,,,,,,,,,
202100-0464,STATENS FÖRSVARSHISTORISKA MUSEER,BOX 14095,104 41,STOCKHOLM,RIDDARGATAN 13,114 51,STOCKHOLM,851956310.0,,info@sfhm.se,www.sfhm.se,2007:1178,,,,,,,,,,,,,,,,,
202100-0712,STATENS GEOTEKNISKA INSTITUT,,581 93,LINKÖPING,OLAUS MAGNUS VÄG 35,583 30,LINKÖPING,13201800.0,,sgi@sgi.se,www.swedgeo.se,2009:945,,,,,,,,,,,,,,,,,
202100-3260,STATENS HAVERIKOMMISSION,BOX 6014,102 31,STOCKHOLM,SVEAVÄGEN 151  6 TR.,113 46,STOCKHOLM,850886200.0,,info@shk.se,www.shk.se,2007:860,,,,,,,,,,,,,,,,,
202100-4953,STATENS HISTORISKA MUSEER,BOX 5428,114 84,STOCKHOLM,Storgatan 41,114 55,STOCKHOLM,851955600.0,,registrator@shm.se,www.shm.se,2014:1079,,,,,,,,,,,,,,,,,
202100-6214,Statens inspektion för försvarsunderrättelseverksamheten (SIUN),Box 1140,164 22,KISTA,GULLFOSSGATAN 6,164 40,KISTA,855504550.0,,registrator@siun.se,www.siun.se,2009:969,,,,,,,,,,,,,,,,,
202100-4508,STATENS INSTITUTIONSSTYRELSE,BOX 1062,171 22,SOLNA,SVETSARVÄGEN 10,171 41,SOLNA,104534000.0,,registrator@stat-inst.se,www.stat-inst.se,2007:1132,,,,,,,,,,,,,,,,,
202100-4151,STATENS JORDBRUKSVERK,,551 82,JÖNKÖPING,Skeppsbrogatan 2,553 29,JÖNKÖPING,36155000.0,,jordbruksverket@jordbruksverket.se,www.jordbruksverket.se,2009:1464,,,,,,,,,,,,,,,,,
202100-1033,STATENS KONSTRÅD,SVENSKSUNDSVÄGEN 11 A,111 49,STOCKHOLM,SVENSKSUNDSVÄGEN 11 A,111 49,STOCKHOLM,84401280.0,,registrator@statenskonstrad.se,www.statenskonstrad.se,2007:1188,,,,,,,,,,,,,,,,,
202100-1280,STATENS KULTURRÅD,BOX 27215,102 53,STOCKHOLM,BORGVÄGEN 1-5,115 53,STOCKHOLM,851926400.0,,kulturradet@kulturradet.se,www.kulturradet.se,2012:515,,,,,,,,,,,,,,,,,
202100-1132,STATENS MARITIMA OCH TRANSPORTHISTORISKA MUSEER,BOX 48,371 21,KARLSKRONA,Bastionsgatan 5,371 32,KARLSKRONA,455359300.0,,registrator@smtm.se,www.smtm.se,2007:1198,,,,,,,,,,,,,,,,,
202100-5075,STATENS MUSEER FÖR VÄRLDSKULTUR,BOX 5306,402 27,GÖTEBORG,Södra Vägen 54,412 54,GÖTEBORG,104561200.0,,registrator@varldskulturmuseerna.se,www.varldskulturmuseerna.se,2007:1185,,,,,,,,,,,,,,,,,
202100-3666,STATENS MUSIKVERK,BOX 16326,103 26,STOCKHOLM,SIBYLLEGATAN 2,114 51,STOCKHOLM,851955450.0,,registrator@musikverket.se,www.musikverket.se,2010:1922,,,,,,,,,,,,,,,,,
202100-5778,STATENS NÄMND FÖR ARBETSTAGARES UPPFINNINGAR,,103 33,STOCKHOLM,,000 00,STOCKHOLM,84051000.0,,,www.regeringen.se/myndigheter-med-flera/statens-namnd-for-arbetstagares-uppfinningar2/,2007:908,,,,,,,,,,,,,,,,,
202100-6453,Statens servicecenter,FE 15,801 71,GÄVLE,RUDDAMMSGATAN 30,803 20,GÄVLE,771456000.0,,registrator@statenssc.se,www.statenssc.se,2012:208,,,,,,,,,,,,,,,,,
202100-5828,Statens skaderegleringsnämnd,Box 2218,103 15,STOCKHOLM,,000 00,STOCKHOLM,87000800.0,,,http://www.kammarkollegiet.se/n-mndmyndigheter/skaderegleringsn-mnden,2007:826,,,,,,,,,,,,,,,,,
202100-6065,Statens skolinspektion,BOX 23069,104 35,STOCKHOLM,Sveavägen 159  6tr,113 46,STOCKHOLM,858608000.0,,skolinspektionen@skolinspektionen.se,www.skolinspektionen.se,2011:556,,,,,,,,,,,,,,,,,
202100-4185,STATENS SKOLVERK,Box 4002,171 04,SOLNA,Svetsarvägen 16,171 41,SOLNA,852733200.0,,registrator@skolverket.se,www.skolverket.se,2015:1047,,,,,,,,,,,,,,,,,
202100-5851,Statens tjänstepensions- och grupplivnämnd,,851 90,SUNDSVALL,Jägargatan 1,852 37,SUNDSVALL,20650065.0,,kundservice@spv.se,www.spv.se,2007:833,,,,,,,,,,,,,,,,,
202100-0928,STATENS TJÄNSTEPENSIONSVERK,,851 90,SUNDSVALL,JÄGARGATAN 1,852 37,SUNDSVALL,,,kundservice@spv.se,www.spv.se,2007:832,,,,,,,,,,,,,,,,,
202100-1868,STATENS VETERINÄRMEDICINSKA ANSTALT,,751 89,UPPSALA,ULLS VÄG 2,756 51,UPPSALA,18674000.0,,sva@sva.se,www.sva.se,2009:1394,,,,,,,,,,,,,,,,,
202100-0704,STATENS VÄG- OCH TRANSPORTFORSKNINGSINSTITUT,,581 95,LINKÖPING,OLAUS MAGNUS VÄG 35,583 30,LINKÖPING,13204000.0,,vti@vti.se,www.vti.se,2007:964,,,,,,,,,,,,,,,,,
202100-4763,Statens överklagandenämnd,BOX 2218,103 15,STOCKHOLM,,,,87000800.0,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/namndmyndigheter/statens-overklagandenamnd/om-namnden,2007:835,,,,,,,,,,,,,,,,,
202100-0837,STATISTISKA CENTRALBYRÅN,,701 89,ÖREBRO,ÅKULLEGATAN 14,703 63,ÖREBRO,104794000.0,,scb@scb.se,www.scb.se,2016:822,,,,,,,,,,,,,,,,,
202100-0852,STATSKONTORET,BOX 396,101 27,STOCKHOLM,Torsgatan 11,111 23,STOCKHOLM,84544600.0,,registrator@statskontoret.se,www.statskontoret.se,2025:681,,,,,,,,,,,,,,,,,
202100-6560,Stockholms konstnärliga högskola,BOX 24045,104 50,STOCKHOLM,VALHALLAVÄGEN 189,115 53,STOCKHOLM,849400000.0,,registrator@uniarts.se,www.uniarts.se,1993:100,,,,,,,,,,,,,,,,,
202100-3062,STOCKHOLMS UNIVERSITET,,106 91,STOCKHOLM,UNIVERSITETSVÄGEN 10 A,114 18,STOCKHOLM,8162000.0,,registrator@su.se,www.su.se,1993:100,,,,,,,,,,,,,,,,,
202100-5737,STRÅLSÄKERHETSMYNDIGHETEN,,171 16,STOCKHOLM,SOLNA STRANDVÄG 96,171 54,SOLNA,,,registrator@ssm.se,www.stralsakerhetsmyndigheten.se,2008:452,,,,,,,,,,,,,,,,,
202100-3815,STYRELSEN FÖR ACKREDITERING OCH TEKNISK KONTROLL,BOX 878,501 15,BORÅS,ÖSTERLÅNGGATAN 9,503 31,BORÅS,771990900.0,,registrator@swedac.se,www.swedac.se,2021:1252,,,,,,,,,,,,,,,,,
202100-6800,Styrelsen För Samefonden,BOX 90,981 22,KIRUNA,Adolf Hedinsvägen 58,981 33,KIRUNA,,,samefonden@sametinget.se,www.sametinget.se/samefonden,1993:384,,,,,,,,,,,,,,,,,
202100-5224,SVENSKA ESF-RÅDET,BOX 397,801 05,GÄVLE,DROTTNINGGATAN 9  3TR,803 20,GÄVLE,20333390.0,,esf@esf.se,www.esf.se,2007:907,,,,,,,,,,,,,,,,,
202100-6818,Svenska FAO-kommittén,,103 33,STOCKHOLM,,000 00,STOCKHOLM,84051000.0,,alexander.bang.bergstrom@regeringskansliet.se,www.svenskafaokommitten.se,1995:1100,,,,,,,,,,,,,,,,,
202100-4961,SVENSKA INSTITUTET,BOX 9,121 21,JOHANNESHOV,Virkesvägen 2,120 30,STOCKHOLM,84537800.0,,si@si.se,www.si.se,2015:152,,,,,,,,,,,,,,,,,
202100-5331,Svenska institutet för europapolitiska studier,Box 55,101 21,STOCKHOLM,Torsgatan 11,111 23,STOCKHOLM,858644700.0,,info@sieps.se,www.sieps.se,2008:748,,,,,,,,,,,,,,,,,
202100-3583,SVERIGES FÖRFATTARFOND,BOX 6243,102 34,STOCKHOLM,SVEAVÄGEN 82  2TR,113 59,STOCKHOLM,84404550.0,,svff@svff.se,www.svff.se,1962:652,,,,,,,,,,,,,,,,,
202100-2528,SVERIGES GEOLOGISKA UNDERSÖKNING,BOX 670,751 28,UPPSALA,Dragarbrunnsgatan 77,753 19,UPPSALA,18179000.0,,sgu@sgu.se,www.sgu.se,2008:1233,,,,,,,,,,,,,,,,,
202100-2817,SVERIGES LANTBRUKSUNIVERSITET,BOX 7070,750 07,UPPSALA,Almas Allé 8  Ulls hus,756 51,UPPSALA,18671000.0,,registrator@slu.se,www.slu.se,1993:221,,,,,,,,,,,,,,,,,
202100-0696,SVERIGES METEOROLOGISKA OCH HYDROLOGISKA INSTITUT,,601 76,NORRKÖPING,FOLKBORGSVÄGEN 17,603 82,NORRKÖPING,114958000.0,,smhi@smhi.se,www.smhi.se,2009:974,,,,,,,,,,,,,,,,,
202100-5703,Säkerhets- och integritetsskyddsnämnden,BOX 22523,104 22,STOCKHOLM,Drottninggatan 89,113 60,STOCKHOLM,106179800.0,,sakint@sakint.se,www.sakint.se,2007:1141,,,,,,,,,,,,,,,,,
