Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
Rumänien	Sveriges ambassad Bukarest	Therese Hydén	Embassy of Sweden	Casuta Postala 2-142	014730 Bukarest	Rumänien				Sveriges Ambassad	Sos.Pavel Kiseleff 43	011343 Bukarest					+40 (21) 406 71 00	+40 (21) 406 71 24	ambassaden.bukarest@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/rumänien-bukarest
Rwanda	Sveriges ambassad Kigali	Johanna Teague	Embassy of Sweden	P.O Box 6387	Kigali	Rwanda				Aurore House	Umuganda Boulevard	Kigali					+250 252 59 74 00	+250 252 59 74 59	ambassaden.kigali@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/rwanda-kigali
Ryssland	Sveriges ambassad Moskva	Malena Mård	Embassy of Sweden	Ulitsa Mosfilmovskaja 60	119590 Moskva	Ryska federationen				Sveriges Ambassad	Ulitsa Mosfilmovskaya 60	60, metro Kievskaja, Universitet eller Lomonosovkij prospekt	Moskva				+7 (495) 937 92 00	+7 (495) 937 92 02	ambassaden.moskva@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/ryssland-moskva
Saudiarabien	Sveriges ambassad Riyadh	Niclas Trouvé	Embassy of Sweden	P.O. Box 94382	Riyadh 11693	Saudiarabien				Sveriges Ambassad	Tayma Street, Lenah Residential Area	Diplomatic Quarter, Byggnad nummer: 3743	Zip: 12513-8384	Riyadh			+966-55-330-14-41		ambassaden.riyadh@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/saudiarabien-riyadh
Schweiz	Sveriges ambassad Bern	Jan Knutsson	Schwedische Botschaft	Postfach, 3001	Schweiz					Sveriges Ambassad	Bundesgasse 26	Bern					+41 31 328 70 00	+41 31 328 70 01	ambassaden.bern@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/schweiz-bern
Schweiz	Sveriges FN-representation Genève	Anna Jardfelt	Permanent Mission of Sweden to the United Nations	Case Postale 190	CH-1211 Geneva 20	Schweiz				82, rue de Lausanne	Genève						+41 22 908 08 00		representationen.geneve@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/fn-genève
Serbien	Sveriges ambassad Belgrad	Annika Ben David	Embassy of Sweden	P.O.B 5	11040 Belgrad	Serbien				Sveriges Ambassad	Ledi Pedzet 2	11040 Belgrade					+381 (11) 20 69 200	+381 (11) 20 69 250	ambassaden.belgrad@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/serbien-belgrad
Singapore	Sveriges ambassad Singapore	Kent Härstedt	Embassy of Sweden	#14-03 Millenia Tower	1 Temasek Avenue	Singapore 039192				Sveriges Ambassad	#14-03 Millenia Tower	1 Temasek Avenue	Singapore 039192				+65 (-) 64 15 9720	+65 (-) 64 15 9747	ambassaden.singapore@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/singapore-singapore
Spanien	Sveriges ambassad Madrid	Teppo Tauriainen	Embajada de Suecia	Calle Caracas 25	280 10 Madrid	Spanien				Sveriges Ambassad	Calle Caracas 25	280 10 Madrid					+34 91 702 20 40		ambassaden.madrid@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/spanien-madrid
Storbritannien	Sveriges ambassad London	Mikaela Kumlin Granit	Embassy of Sweden	11 Montagu Place	London W1H 2AL	Storbritannien				Sveriges Ambassad	11 Montagu Place	London W1H 2AL					+44 (20) 7917 6400	+44 (20) 7724 4174	ambassaden.london@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/storbritannien-london
Sudan	Sveriges ambassad Khartoum	Signe Burgstaller	Embassy of Sweden	P.O.Box 2206	Khartoum	Sudan				Sveriges ambassad	House 70,	Street 43,	Khartoum 2	Khartoum			+249 187 18 87 00		ambassaden.khartoum@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/sudan-khartoum
Sydafrika	Sveriges ambassad Pretoria	Håkan Juholt	Embassy of Sweden	P.O. Box 13477	Hatfield 0028	Sydafrika				Sveriges Ambassad	iParioli Complex	1166 Park Street	Hatfield				+27 (12) 426 64 00	+27 (12) 426 64 64	ambassaden.pretoria@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/sydafrika-pretoria
Sydkorea	Sveriges ambassad Seoul	Daniel Wolvén	Embassy of Sweden	CPO Box 3577	Seoul 04535	Republic of Korea				Sveriges Ambassad	Danam Building, 8F	10 Sowol-ro	Jung-Gu	Seoul 04527			+82 2 3703 3700	+82 2 3703 3701/2	ambassaden.seoul@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/sydkorea-seoul
Syrien	Sveriges ambassad Damaskus	Ann Dismorr	Ambassade de Suède	P.O. Box 4266	Damascus	Syria											+963 (11) 619 09 00		ambassaden.damaskus@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/syrien-damaskus
Tanzania	Sveriges ambassad Dar es Salaam	Anders Sjöberg	Embassy of Sweden	P.O. Box 9274	Dar es Salaam	Tanzania				Sveriges Ambassad	Mirambo Street - Garden Avenue	Dar es Salaam					+255 (22) 219 65 00	+255 (22) 219 65 03	ambassaden.dar-es-salaam@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/tanzania-dar-es-salaam
Thailand	Sveriges ambassad Bangkok	Jon Åström Gröndahl	Embassy of Sweden	P.O. Box 1324, Nana Post Office	Bangkok 10110	Thailand				Sveriges Ambasssad	8 våningen, One Pacific Place	140 Sukhumvit Road, mellan soi 4 och soi 6	Ambassaden ligger bredvid Landmark Hotel				+66 2 263 72 00 / +66 2 263 72 11		ambassaden.bangkok@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/thailand-bangkok
Tjeckien	Sveriges ambassad Prag	Fredrik Jörgensen	Embassy of Sweden	P.O. Box 35	160 12 Praha 612	Tjeckien				Sveriges Ambassad	Úvoz 13	Prag 1-Hradcany					+420 (-) 220 313 200	+420 (-) 220 313 240	ambassaden.prag@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/tjeckien-prag
Tunisien	Sveriges ambassad Tunis	Anna Block Mazoyer	Sveriges Ambassad Tunis	Dar Nordique	Rue du Lac Neuchâtel	1053 Les Berges du Lac	Tunis, Tunisien			Dar Nordique	Rue du Lac Neuchatel	Tunis					+216 (71) 71121300		ambassaden.tunis@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/tunisien-tunis
Turkiet	Sveriges ambassad Ankara	Staffan Herrström	Embassy of Sweden	P.O.B. 3	06692 Kavaklidere	Ankara	Turkiet			Sveriges Ambassad	Katip Celebi Sokak 7	Kavaklidere	Ankara				+90 (312) 455 41 00	+90 (312) 455 41 20	ambassaden.ankara@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/Turkiet-Ankara
Turkiet	Sveriges generalkonsulat Istanbul	Peter Ericson	Consulate General of Sweden	P.K. 125	34433 Beyoglu	Istanbul	Turkiet			Sveriges Generalkonsulat	(Visum, migrations-, konsulära och allmänna frågor)	Sah Kulu Bostan Sk	södra ingången				+90 212 334 0600	+90 212 334 0628	generalkonsulat.istanbul@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/turkiet-istanbul
Tyskland	Sveriges ambassad Berlin	Per Thöresson	Schwedische Botschaft	Rauchstrasse 1	10787 Berlin	Tyskland				Schwedische Botschaft	Rauchstrasse 1	107 87 Berlin					+49 (30) 50 50 60	+49 (30) 50 50 67 89	ambassaden.berlin@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/tyskland-berlin
Uganda	Sveriges ambassad Kampala	Maria Håkansson	Embassy of Sweden	P.O. Box 22669	Kampala	Uganda				Sveriges Ambassad	Plot 24, Lumumba Avenue	Nakasero	Kampala				+256 41 77 00 800	+256 41 77 00 801	ambassaden.kampala@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/uganda-kampala
Ukraina	Sveriges ambassad Kiev	Tobias Thyberg	Embassy of Sweden	Ivan Franka Street 34/33, 3rd floor	01901 Kiev	Ukraina				Sveriges Ambassad	Ivana Franka Street 34/33, 3rd floor	Kiev					+380 44 494 4270	+380 44 494 42 71	ambassaden.kiev@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/ukraina-kiev
Ungern	Sveriges ambassad Budapest	Dag Hartelius	Embassy of Sweden	Kapás utca 6-12	1027 Budapest	Ungern				Sveriges Ambassad	Vizíváros Office Center	Byggnad B, plan 4	Kapás utca 6-12	1027 Budapest			+36 (1) 460 60 20	+36 (1) 460 60 21	ambassaden.budapest@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/ungern-budapest
USA	Sveriges ambassad Washington	Karin Olofsdotter	Embassy of Sweden	2900 K Street, N.W	Washington, DC 20007	USA				2900 K Street	N.W., Washington						+1 202 467 2600		ambassaden.washington@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/usa-washington
USA	Sveriges generalkonsulat New York	Camilla Mellander	Consulate General of Sweden	One Dag Hammarskjöld Plaza	885 Second Avenue	40th floor	New York, NY10017			One Dag Hammarskjöld Plaza	885 Second Avenue	vid hörnet av 47th Street på Manhattan					+1 212 583 2560		generalkonsulat.new-york@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/usa-new-york
USA	Sveriges FN-Representation New York	Anna-Karin Eneström	Permanent Mission of Sweden to the United Nations	885 Second Avenue	New York, NY 10017	USA				One Dag Hammarskjöld Plaza	885 Second Avenue	46th Floor	New York, NY				+1 212 583 2500		representationen.new-york@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/fn-new-york
Vietnam	Sveriges ambassad Hanoi	Ann Måwe	Embassy of Sweden	Daeha Business Center	15th floor, 360 Kim Ma	Hanoi	Vietnam			Sveriges Ambassad	Dahea Business Center	15:e våningen	360 Kim Ma street	Ba Dinh, Hanoi			+84 4 37260 400	+84 4 37260410	ambassaden.hanoi@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/vietnam-hanoi
Zambia	Sveriges ambassad Lusaka	Anna-Maj Hultgård	Embassy of Sweden	P.O. Box 50264	Ridgeway	10101 Lusaka	Zambia			Sveriges Ambassad	Haile Selassie Avenue,	Opposite Ndeke House	Longacres	Lusaka			+260 211 42 61 00 / +260 777 17 72 33	+260 (211) 25 40 49	ambassaden.lusaka@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/zambia-lusaka
Zimbabwe	Sveriges ambassad Harare	Åsa Pehrson	Embassy of Sweden	P.O. Box 4110	Harare	Zimbabwe				Sveriges Ambassad	32, Aberdeen Road	Avondale	Harare				+263 (4) 302 636	+263 (4) 302 236	ambassaden.harare@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/zimbabwe-harare
Österrike	Sveriges ambassad Wien	Annika Markovic	Schwedische Botschaft	Liechtensteinstrasse 51	1090 Wien	Österrike				Sveriges Ambassad	Liechtensteinstrasse 51	1090 Wien					+43 1-217 530		ambassaden.wien@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/österrike-wien
Österrike	Svergies delegation NATO Bryssel	Ulrika Funeredt	Mission of Sweden to NATO	NATO HQ - MWB	Boulevard Leopold III	1110 Bryssel	Belgien			Sveriges delegation vid Nato	NATO HQ	Boulevard Leopold III, (Manfred Wörner Building, Evere)					+3227077855		nato-delegationen.bryssel@gov.se	www.swedenabroad.se/sv/utlandsmyndigheter/nato-bryssel/kontakt/the-delegation
